City,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h,SO2/h
海东地区,110,59,168,0.4,78,2,57,16
海口,32,17,29,0.49,14,51,62,3
海门,61,25,38,0.5,9,117,112,6
海南藏族自治州,59,21,37,0.6,36,72,109,8
海南州,40,28,34,0.5,15,50,50,13
海西蒙古族藏族自治州,55,20,28,0.5,16,101,104,14
海西州,33,15,30,0.4,15,65,65,16
哈密地区,61,21,69,0.3,27,72,95,3
邯郸,95,30,65,0.98,27,112,152,17
杭州,57,28,61,0.52,35,67,93,4
汉中,48,30,47,0.72,23,51,94,7
鹤壁,121,27,80,0.54,29,137,182,8
河池,42,11,41,0.63,15,19,38,7
合肥,55,17,52,0.68,74,40,104,6
鹤岗,53,17,54,0.56,15,36,54,6
黑河,31,13,22,0.2,12,55,61,5
衡水,76,42,79,0.66,30,123,130,19
衡阳,33,20,32,0.73,15,42,54,13
和田地区,113,60,174,0.9,27,68,67,13
河源,51,20,50,0.7,21,52,75,7
菏泽,81,29,70,0.6,23,115,136,12
贺州,43,26,42,0.5,14,40,63,9
红河州,27,17,22,0.4,8,41,52,7
淮安,98,53,77,0.7,62,85,156,5
淮北,136,41,69,0.7,20,150,198,5
怀化,41,20,40,0.87,19,21,42,6
淮南,71,40,64,0.53,32,98,123,11
黄冈,70,49,86,0.7,14,77,122,9
黄南藏族自治州,59,34,65,0.5,6,84,102,8
黄南州,43,18,42,0.0,3,74,74,3
